Source Name	Characteristics[OperatorVariation]	Characteristics[DataSource]	Characteristics[4 meta-groups]	Characteristics[15 meta-groups]	Characteristics[369 groups]	Characteristics[groups with 10 and more replicates]	Characteristics[Blood/NonBlood meta-groups]	Characteristics[Organism]	Characteristics[OrganismPart]	Characteristics[CellType]	Characteristics[CellLine]	Characteristics[DiseaseState]	Characteristics[DevelopmentalStage]	Characteristics[DiseaseStage]	Characteristics[Sex]	Characteristics[Age]	Characteristics[Generalization 6 on reduced data]	Labeled Extract Name	Label	Hybridization Name	Array Design REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value[4 meta-groups]	Factor Value[15 meta-groups]	Factor Value[369 groups]	Factor Value[Blood-NonBlood meta-groups]	Factor Value[6 meta-groups]	Factor Value[4 groups from blood to incompletely diff]	Factor Value[96 groups]
1102960930.CEL	"Gerd,,Mueller"	E-MEXP-750	normal	normal blood	T cell	T cell	blood	Homo sapiens	palatine tonsil	CXCR5(hi)ICOS(hi) CD4+ T cell	  	  	  	  	  	  	hematopoietic system	1102960930.CEL_L	biotin	1102960930.CEL	A-AFFY-33	1102960930.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.113.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	normal	normal blood	T cell	blood	hematopoietic system	blood	T cell
1102960958.CEL	"Gerd,,Mueller"	E-MEXP-750	normal	normal blood	T cell	T cell	blood	Homo sapiens	palatine tonsil	CXCR5(hi)ICOS(hi) CD4+ T cell	  	  	  	  	  	  	hematopoietic system	1102960958.CEL_L	biotin	1102960958.CEL	A-AFFY-33	1102960958.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.114.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	normal	normal blood	T cell	blood	hematopoietic system	blood	T cell
1102960993.CEL	"Gerd,,Mueller"	E-MEXP-750	normal	normal blood	T cell	T cell	blood	Homo sapiens	palatine tonsil	CXCR5(hi)ICOS(hi) CD4+ T cell	  	  	  	  	  	  	hematopoietic system	1102960993.CEL_L	biotin	1102960993.CEL	A-AFFY-33	1102960993.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.113.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	normal	normal blood	T cell	blood	hematopoietic system	blood	T cell
1102961017.CEL	"Gerd,,Mueller"	E-MEXP-750	normal	normal blood	T cell	T cell	blood	Homo sapiens	palatine tonsil	CXCR5(lo)ICOS(int) CD4+ T cell	  	  	  	  	  	  	hematopoietic system	1102961017.CEL_L	biotin	1102961017.CEL	A-AFFY-33	1102961017.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.113.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	normal	normal blood	T cell	blood	hematopoietic system	blood	T cell
1102961041.CEL	"Gerd,,Mueller"	E-MEXP-750	normal	normal blood	T cell	T cell	blood	Homo sapiens	palatine tonsil	CXCR5(lo)ICOS(int) CD4+ T cell	  	  	  	  	  	  	hematopoietic system	1102961041.CEL_L	biotin	1102961041.CEL	A-AFFY-33	1102961041.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.114.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	normal	normal blood	T cell	blood	hematopoietic system	blood	T cell
1102961066.CEL	"Gerd,,Mueller"	E-MEXP-750	normal	normal blood	T cell	T cell	blood	Homo sapiens	palatine tonsil	CXCR5(lo)ICOS(int) CD4+ T cell	  	  	  	  	  	  	hematopoietic system	1102961066.CEL_L	biotin	1102961066.CEL	A-AFFY-33	1102961066.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.114.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	normal	normal blood	T cell	blood	hematopoietic system	blood	T cell
1102961105.CEL	"Gerd,,Mueller"	E-MEXP-750	normal	normal blood	T cell	T cell	blood	Homo sapiens	palatine tonsil	CXCR5(-)ICOS(-/lo) CD4+ T cell	  	  	  	  	  	  	hematopoietic system	1102961105.CEL_L	biotin	1102961105.CEL	A-AFFY-33	1102961105.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.114.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	normal	normal blood	T cell	blood	hematopoietic system	blood	T cell
1102961145.CEL	"Gerd,,Mueller"	E-MEXP-750	normal	normal blood	T cell	T cell	blood	Homo sapiens	palatine tonsil	CXCR5(-)ICOS(-/lo) CD4+ T cell	  	  	  	  	  	  	hematopoietic system	1102961145.CEL_L	biotin	1102961145.CEL	A-AFFY-33	1102961145.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.114.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	normal	normal blood	T cell	blood	hematopoietic system	blood	T cell
1102961177.CEL	"Gerd,,Mueller"	E-MEXP-750	normal	normal blood	T cell	T cell	blood	Homo sapiens	palatine tonsil	CXCR5(-)ICOS(-/lo) CD4+ T cell	  	  	  	  	  	  	hematopoietic system	1102961177.CEL_L	biotin	1102961177.CEL	A-AFFY-33	1102961177.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.113.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	normal	normal blood	T cell	blood	hematopoietic system	blood	T cell
1176547097.CEL	"Sjur,,Reppe"	E-MEXP-847	disease	solid tissue non neoplastic disease	bone hyperparathyroidis	  	non blood	Homo sapiens	bone	  	  	Hyperparathyroidism	  	primary	female	  	  	1176547097.CEL_L	biotin	1176547097.CEL	A-AFFY-33	1176547097.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.20.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	disease	solid tissue non neoplastic disease	bone hyperparathyroidis	non blood	  	the rest	    
1176547114.CEL	"Sjur,,Reppe"	E-MEXP-847	normal	normal solid tissue	bone	  	non blood	Homo sapiens	bone	  	  	  	  	  	female	  	  	1176547114.CEL_L	biotin	1176547114.CEL	A-AFFY-33	1176547114.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.20.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	normal	normal solid tissue	bone	non blood	  	the rest	    
1176547131.CEL	"Sjur,,Reppe"	E-MEXP-847	disease	solid tissue non neoplastic disease	bone hyperparathyroidis	  	non blood	Homo sapiens	bone	  	  	Hyperparathyroidism	  	primary	male	  	  	1176547131.CEL_L	biotin	1176547131.CEL	A-AFFY-33	1176547131.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.20.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	disease	solid tissue non neoplastic disease	bone hyperparathyroidis	non blood	  	the rest	    
1176547148.CEL	"Sjur,,Reppe"	E-MEXP-847	normal	normal solid tissue	bone	  	non blood	Homo sapiens	bone	  	  	  	  	  	male	  	  	1176547148.CEL_L	biotin	1176547148.CEL	A-AFFY-33	1176547148.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.20.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	normal	normal solid tissue	bone	non blood	  	the rest	    
1176547165.CEL	"Sjur,,Reppe"	E-MEXP-847	disease	solid tissue non neoplastic disease	bone hyperparathyroidis	  	non blood	Homo sapiens	bone	  	  	Hyperparathyroidism	  	primary	female	  	  	1176547165.CEL_L	biotin	1176547165.CEL	A-AFFY-33	1176547165.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.20.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	disease	solid tissue non neoplastic disease	bone hyperparathyroidis	non blood	  	the rest	    
1176547182.CEL	"Sjur,,Reppe"	E-MEXP-847	normal	normal solid tissue	bone	  	non blood	Homo sapiens	bone	  	  	  	  	  	female	  	  	1176547182.CEL_L	biotin	1176547182.CEL	A-AFFY-33	1176547182.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.20.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	normal	normal solid tissue	bone	non blood	  	the rest	    
1176547199.CEL	"Sjur,,Reppe"	E-MEXP-847	disease	solid tissue non neoplastic disease	bone hyperparathyroidis	  	non blood	Homo sapiens	bone	  	  	Hyperparathyroidism	  	primary	female	  	  	1176547199.CEL_L	biotin	1176547199.CEL	A-AFFY-33	1176547199.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.20.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	disease	solid tissue non neoplastic disease	bone hyperparathyroidis	non blood	  	the rest	    
1176547216.CEL	"Sjur,,Reppe"	E-MEXP-847	normal	normal solid tissue	bone	  	non blood	Homo sapiens	bone	  	  	  	  	  	female	  	  	1176547216.CEL_L	biotin	1176547216.CEL	A-AFFY-33	1176547216.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.20.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	normal	normal solid tissue	bone	non blood	  	the rest	    
1176547233.CEL	"Sjur,,Reppe"	E-MEXP-847	disease	solid tissue non neoplastic disease	bone hyperparathyroidis	  	non blood	Homo sapiens	bone	  	  	Hyperparathyroidism	  	primary	female	  	  	1176547233.CEL_L	biotin	1176547233.CEL	A-AFFY-33	1176547233.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.20.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	disease	solid tissue non neoplastic disease	bone hyperparathyroidis	non blood	  	the rest	    
1176547250.CEL	"Sjur,,Reppe"	E-MEXP-847	normal	normal solid tissue	bone	  	non blood	Homo sapiens	bone	  	  	  	  	  	female	  	  	1176547250.CEL_L	biotin	1176547250.CEL	A-AFFY-33	1176547250.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.20.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	normal	normal solid tissue	bone	non blood	  	the rest	    
1176547267.CEL	"Sjur,,Reppe"	E-MEXP-847	disease	solid tissue non neoplastic disease	bone hyperparathyroidis	  	non blood	Homo sapiens	bone	  	  	Hyperparathyroidism	  	primary	female	  	  	1176547267.CEL_L	biotin	1176547267.CEL	A-AFFY-33	1176547267.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.20.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	disease	solid tissue non neoplastic disease	bone hyperparathyroidis	non blood	  	the rest	    
1176547284.CEL	"Sjur,,Reppe"	E-MEXP-847	normal	normal solid tissue	bone	  	non blood	Homo sapiens	bone	  	  	  	  	  	female	  	  	1176547284.CEL_L	biotin	1176547284.CEL	A-AFFY-33	1176547284.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.20.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	normal	normal solid tissue	bone	non blood	  	the rest	    
1176547301.CEL	"Sjur,,Reppe"	E-MEXP-847	normal	normal solid tissue	bone	  	non blood	Homo sapiens	bone	  	  	  	  	  	female	  	  	1176547301.CEL_L	biotin	1176547301.CEL	A-AFFY-33	1176547301.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.20.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	normal	normal solid tissue	bone	non blood	  	the rest	    
1176547318.CEL	"Sjur,,Reppe"	E-MEXP-847	disease	solid tissue non neoplastic disease	bone hyperparathyroidis	  	non blood	Homo sapiens	bone	  	  	Hyperparathyroidism	  	primary	female	  	  	1176547318.CEL_L	biotin	1176547318.CEL	A-AFFY-33	1176547318.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.20.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	disease	solid tissue non neoplastic disease	bone hyperparathyroidis	non blood	  	the rest	    
1203237812.CEL	"Katrine,B,Fronsdal"	E-MEXP-872	normal	normal blood	hematopoietic stem cell	hematopoietic stem cell	blood	Homo sapiens	bone marrow	  	  	  	adult	  	  	  	hematopoietic system	1203237812.CEL_L	biotin	1203237812.CEL	A-AFFY-33	1203237812.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.64.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	normal	normal blood	hematopoietic stem cell	blood	hematopoietic system	blood	hematopoietic stem cell
1203237830.CEL	"Katrine,B,Fronsdal"	E-MEXP-872	normal	normal blood	hematopoietic stem cell	hematopoietic stem cell	blood	Homo sapiens	bone marrow	  	  	  	adult	  	  	  	hematopoietic system	1203237830.CEL_L	biotin	1203237830.CEL	A-AFFY-33	1203237830.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.65.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	normal	normal blood	hematopoietic stem cell	blood	hematopoietic system	blood	hematopoietic stem cell
1229967808.CEL	"paul,,spellman"	E-TABM-157	cell line	solid tissue neoplasm cell line	MDA-MB-415 breast cancer	  	non blood	Homo sapiens	mammary gland	  	MDAMB415	breast cancer	  	  	  	  	  	1229967808.CEL_L	biotin	1229967808.CEL	A-AFFY-33	1229967808.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.raw.85.zip	P-MTAB-2072	hgu133a_rma_okFiles_080619_MAGETAB.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-62/E-MTAB-62.processed.2.zip	cell line	solid tissue neoplasm cell line	MDA-MB-415 breast cancer	non blood	  	the rest	    
